"country","iso2","iso3","iso_numeric","g_whoregion","year","e_pop_num","e_inc_100k","e_inc_100k_lo","e_inc_100k_hi","e_inc_num","e_inc_num_lo","e_inc_num_hi","e_tbhiv_prct","e_tbhiv_prct_lo","e_tbhiv_prct_hi","e_inc_tbhiv_100k","e_inc_tbhiv_100k_lo","e_inc_tbhiv_100k_hi","e_inc_tbhiv_num","e_inc_tbhiv_num_lo","e_inc_tbhiv_num_hi","e_mort_exc_tbhiv_100k","e_mort_exc_tbhiv_100k_lo","e_mort_exc_tbhiv_100k_hi","e_mort_exc_tbhiv_num","e_mort_exc_tbhiv_num_lo","e_mort_exc_tbhiv_num_hi","e_mort_tbhiv_100k","e_mort_tbhiv_100k_lo","e_mort_tbhiv_100k_hi","e_mort_tbhiv_num","e_mort_tbhiv_num_lo","e_mort_tbhiv_num_hi","e_mort_100k","e_mort_100k_lo","e_mort_100k_hi","e_mort_num","e_mort_num_lo","e_mort_num_hi","cfr","cfr_lo","cfr_hi","cfr_pct","cfr_pct_lo","cfr_pct_hi","c_newinc_100k","c_cdr","c_cdr_lo","c_cdr_hi"
"Zambia","ZM","ZMB","894","AFR",2000,10017625,759,238,1570,76000,24000,158000,81,,,611,184,1290,61000,18000,129000,36,12,72,3600,1200,7200,201,73,392,20000,7300,39000,236,101,428,24000,10000,43000,0.38,0.08,0.75,38,8,75,497,66,32,210
"Zambia","ZM","ZMB","894","AFR",2001,10325183,728,243,1470,75000,25000,152000,76,,,552,177,1140,57000,18000,117000,43,16,84,4500,1700,8600,196,73,379,20000,7500,39000,239,108,423,25000,11000,44000,0.39,0.08,0.77,39,8,77,448,62,30,180
"Zambia","ZM","ZMB","894","AFR",2002,10647946,695,336,1180,74000,36000,126000,73,,,505,230,885,54000,24000,94000,34,14,63,3600,1500,6800,138,70,230,15000,7400,25000,173,99,267,18000,11000,28000,0.27,0.1,0.49,27,10,49,509,73,43,150
"Zambia","ZM","ZMB","894","AFR",2003,10983588,662,390,1000,73000,43000,110000,71,,,467,254,743,51000,28000,82000,28,12,52,3100,1300,5700,109,62,170,12000,6800,19000,138,86,201,15000,9400,22000,0.22,0.1,0.36,22,10,36,524,79,52,130
"Zambia","ZM","ZMB","894","AFR",2004,11338194,631,356,983,72000,40000,111000,69,,,438,227,717,50000,26000,81000,30,13,55,3400,1400,6200,113,62,179,13000,7000,20000,143,88,212,16000,9900,24000,0.24,0.11,0.41,24,11,41,477,76,49,130
"Zambia","ZM","ZMB","894","AFR",2005,11718822,602,313,985,71000,37000,115000,70,,,420,202,717,49000,24000,84000,32,13,59,3700,1500,6900,124,64,204,15000,7500,24000,156,91,238,18000,11000,28000,0.28,0.11,0.49,28,11,49,423,70,43,140
"Zambia","ZM","ZMB","894","AFR",2006,12129550,577,299,944,70000,36000,114000,71,,,408,197,694,49000,24000,84000,30,12,56,3600,1400,6800,126,65,206,15000,7900,25000,156,90,239,19000,11000,29000,0.29,0.12,0.51,29,12,51,394,68,42,130
"Zambia","ZM","ZMB","894","AFR",2007,12565079,554,253,971,70000,32000,122000,72,,,397,170,718,50000,21000,90000,28,10,55,3500,1300,6900,128,60,220,16000,7600,28000,156,84,250,20000,11000,31000,0.31,0.11,0.57,31,11,57,369,66,38,150
"Zambia","ZM","ZMB","894","AFR",2008,13021322,534,252,918,70000,33000,120000,68,,,363,164,640,47000,21000,83000,30,18,45,3900,2300,5900,126,61,213,16000,8000,28000,156,88,242,20000,11000,32000,0.32,0.12,0.57,32,12,57,335,63,37,130
"Zambia","ZM","ZMB","894","AFR",2009,13490395,514,251,869,69000,34000,117000,67,,,347,162,601,47000,22000,81000,28,17,42,3800,2200,5700,116,58,193,16000,7800,26000,143,83,220,19000,11000,30000,0.31,0.12,0.54,31,12,54,333,65,38,130
