"country","iso2","iso3","iso_numeric","g_whoregion","year","rep_meth","new_sp_coh","new_sp_cur","new_sp_cmplt","new_sp_died","new_sp_fail","new_sp_def","c_new_sp_tsr","new_snep_coh","new_snep_cmplt","new_snep_died","new_snep_fail","new_snep_def","c_new_snep_tsr","ret_coh","ret_cur","ret_cmplt","ret_died","ret_fail","ret_def","hiv_new_sp_coh","hiv_new_sp_cur","hiv_new_sp_cmplt","hiv_new_sp_died","hiv_new_sp_fail","hiv_new_sp_def","hiv_new_snep_coh","hiv_new_snep_cmplt","hiv_new_snep_died","hiv_new_snep_fail","hiv_new_snep_def","hiv_ret_coh","hiv_ret_cur","hiv_ret_cmplt","hiv_ret_died","hiv_ret_fail","hiv_ret_def","rel_with_new_flg","used_2021_defs_flg","newrel_coh","newrel_succ","newrel_fail","newrel_died","newrel_lost","c_new_tsr","ret_nrel_coh","ret_nrel_succ","ret_nrel_fail","ret_nrel_died","ret_nrel_lost","c_ret_tsr","tbhiv_coh","tbhiv_succ","tbhiv_fail","tbhiv_died","tbhiv_lost","c_tbhiv_tsr","mdr_coh","mdr_succ","mdr_fail","mdr_died","mdr_lost","xdr_coh","xdr_succ","xdr_fail","xdr_died","xdr_lost"
"Zambia","ZM","ZMB","894","AFR",1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zambia","ZM","ZMB","894","AFR",1995,100,5957,2815,1351,391,104,839,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,
"Zambia","ZM","ZMB","894","AFR",1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zambia","ZM","ZMB","894","AFR",1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zambia","ZM","ZMB","894","AFR",1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zambia","ZM","ZMB","894","AFR",1999,100,11645,5808,2238,850,325,1023,69,,,,,,,1283,602,321,143,52,88,,,,,,,,,,,,,,,,,,,,,,,,,69,,,,,,72,,,,,,,,,,,,,,,,
"Zambia","ZM","ZMB","894","AFR",2000,100,7014,3348,1358,478,404,412,67,,,,,,,894,466,137,102,38,42,,,,,,,,,,,,,,,,,,,,,,,,,67,,,,,,67,,,,,,,,,,,,,,,,
"Zambia","ZM","ZMB","894","AFR",2001,100,13024,7246,2429,1450,87,766,74,,,,,,,4249,2533,1283,125,130,90,,,,,,,,,,,,,,,,,,,,,,,,,74,,,,,,90,,,,,,,,,,,,,,,,
"Zambia","ZM","ZMB","894","AFR",2002,100,16351,10410,2658,1811,467,665,80,,,,,,,1577,1001,203,224,36,53,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,76,,,,,,,,,,,,,,,,
"Zambia","ZM","ZMB","894","AFR",2003,100,18934,12603,1599,1492,187,466,75,,,,,,,2248,1556,190,269,51,59,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,78,,,,,,,,,,,,,,,,
"Zambia","ZM","ZMB","894","AFR",2004,100,17247,13108,1156,1363,172,414,83,,,,,,,2248,1593,161,295,40,58,,,,,,,,,,,,,,,,,,,,,,,,,83,,,,,,78,,,,,,,,,,,,,,,,
"Zambia","ZM","ZMB","894","AFR",2005,100,14857,11290,1180,1178,100,334,84,32915,28508,2061,53,797,87,5496,1309,3274,472,43,176,,,,,,,,,,,,,,,,,,,,,,,,,86,,,,,,83,,,,,,,,,,,,,,,,
"Zambia","ZM","ZMB","894","AFR",2006,100,14025,10762,1149,930,78,390,85,31900,26643,2222,85,979,84,5254,1519,2743,509,44,171,2185,1630,150,242,14,61,4661,3667,546,23,135,1053,313,533,101,11,35,,,,,,,,84,,,,,,81,,,,,,80,,,,,,,,,,
"Zambia","ZM","ZMB","894","AFR",2007,102,13378,10447,882,855,95,377,85,31204,25827,2331,13,999,83,5833,1386,3358,537,27,200,4880,3670,356,415,27,116,13587,10944,1332,35,337,2565,585,1462,279,18,77,,,,,,,,83,,,,,,81,,,,,,81,,,,,,,,,,
"Zambia","ZM","ZMB","894","AFR",2008,100,13173,10875,671,721,84,345,88,19344,15993,1583,25,607,83,2958,3,2373,280,4,115,4177,3259,264,313,13,137,9918,8145,890,6,280,1531,49,1166,191,3,49,,,,,,,,85,,,,,,80,,,,,,82,,,,,,,,,,
"Zambia","ZM","ZMB","894","AFR",2009,102,12995,10983,777,722,123,390,90,30071,27024,1964,22,1061,90,5444,1792,2893,488,49,222,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,86,,,,,,,,,,,,,,,,
"Zambia","ZM","ZMB","894","AFR",2010,102,12639,10532,775,722,123,388,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,,,,,,,,,,,,,56,20,3,2,3,,,,,
